zip;ruca;state
00001;10.0;Alaska
00002;10.0;Alaska
00003;10.0;Alaska
00004;10.0;Alaska
00005;10.0;Alaska
00006;10.0;Alaska
00007;10.0;Alaska
00009;10.0;Alaska
00010;10.0;Alaska
00011;10.0;Alaska
00012;10.6;California
00014;2.0;Arizona
00015;1.0;Arizona
00016;7.3;California
00017;2.0;California
00018;3.0;California
00019;10.0;California
00020;7.0;California
00022;8.0;California
00026;2.0;California
00027;2.0;Colorado
00028;10.0;California
00029;10.4;California
00031;10.0;California
00032;1.0;California
00033;10.4;California
00034;10.0;California
00035;10.6;California
00037;5.0;California
00038;5.0;California
00039;10.0;California
00040;10.5;California
00041;1.0;Florida
00042;1.0;Florida
00043;1.0;Florida
00044;10.5;California
00045;2.1;Florida
00047;10.6;California
00048;10.5;California
00049;5.0;California
00050;10.5;California
00051;2.0;California
00052;2.0;California
00053;1.0;Florida
00054;10.5;California
00055;10.0;California
00056;2.0;Idaho
00057;1.0;California
00058;10.0;California
00059;10.5;Minnesota
00060;10.5;Minnesota
00061;1.0;California
00063;2.0;Montana
00064;10.4;New Mexico
00065;10.4;California
00066;1.0;New Mexico
00067;1.0;Oklahoma
00068;7.0;Oregon
00069;2.0;Oregon
00070;2.0;Oregon
00071;2.1;Utah
00072;2.0;Washington
00073;2.0;Washington
00074;10.4;Washington
00076;10.0;Washington
00077;10.5;Oregon
00084;2.0;North Carolina
00087;2.0;Florida
00097;2.0;Florida
00098;2.0;Florida
00100;1.0;Utah
00116;10.0;Louisiana
00119;10.0;Louisiana
00120;10.0;Louisiana
00121;2.0;Louisiana
00122;2.0;Louisiana
00125;10.0;Maine
00126;10.0;Maine
00127;10.0;Maine
00128;10.0;Maine
00130;9.0;Maine
00132;10.0;Maine
00133;10.0;Maine
00134;10.6;Maine
00135;10.0;Maine
00137;8.0;Maine
00138;8.0;Maine
00139;10.0;Maine
00140;10.0;Maine
00141;2.0;Maine
00145;10.0;Maine
00147;10.0;Maine
00148;9.0;Maine
00151;10.6;Maine
00152;4.2;Maryland
00157;1.0;Massachusetts
00158;1.0;Massachusetts
00160;10.0;Minnesota
00161;8.3;Minnesota
00164;10.0;Minnesota
00165;10.0;Minnesota
00166;10.0;Minnesota
00168;4.0;New Hampshire
00172;10.5;New Hampshire
00173;10.5;New Hampshire
00174;10.5;New Hampshire
00176;10.5;New Hampshire
00177;4.0;New Hampshire
00179;10.5;New Hampshire
00180;10.5;New Hampshire
00181;10.5;New Hampshire
00182;10.5;New Hampshire
00183;4.0;New Hampshire
00184;4.0;New Hampshire
00185;10.0;New Hampshire
00188;5.0;Texas
00195;10.6;Washington
00197;2.0;Arizona
00198;2.0;Alaska
00199;2.0;Arizona
00501;1.0;New York
00544;1.0;New York
01001;1.0;Massachusetts
01002;4.1;Massachusetts
01003;4.1;Massachusetts
01004;4.1;Massachusetts
01005;2.0;Massachusetts
01007;4.1;Massachusetts
01008;2.0;Massachusetts
01009;1.0;Massachusetts
01010;2.1;Massachusetts
01011;2.0;Massachusetts
01012;2.0;Massachusetts
01013;1.0;Massachusetts
01014;1.0;Massachusetts
01020;1.0;Massachusetts
01021;1.0;Massachusetts
01022;1.0;Massachusetts
01026;2.0;Massachusetts
01027;1.0;Massachusetts
01028;1.0;Massachusetts
01029;10.4;Massachusetts
01030;1.0;Massachusetts
01031;2.1;Massachusetts
01032;2.0;Massachusetts
01033;1.0;Massachusetts
01034;2.0;Massachusetts
01035;1.0;Massachusetts
01036;1.0;Massachusetts
01037;2.0;Massachusetts
01038;1.0;Massachusetts
01039;2.0;Massachusetts
01040;1.0;Massachusetts
01041;1.0;Massachusetts
01050;2.0;Massachusetts
01053;1.0;Massachusetts
01054;6.1;Massachusetts
01056;1.0;Massachusetts
01057;2.0;Massachusetts
01059;4.1;Massachusetts
01060;1.0;Massachusetts
01061;1.0;Massachusetts
01062;1.0;Massachusetts
01063;1.0;Massachusetts
01066;1.0;Massachusetts
01068;1.0;Massachusetts
01069;1.0;Massachusetts
01070;2.0;Massachusetts
01071;2.0;Massachusetts
01072;6.1;Massachusetts
01073;2.0;Massachusetts
01074;2.0;Massachusetts
01075;1.0;Massachusetts
01077;1.0;Massachusetts
01079;1.0;Massachusetts
01080;1.0;Massachusetts
01081;2.1;Massachusetts
01082;2.0;Massachusetts
01083;2.0;Massachusetts
01084;2.0;Massachusetts
01085;1.0;Massachusetts
01086;1.0;Massachusetts
01088;1.0;Massachusetts
01089;1.0;Massachusetts
01090;1.0;Massachusetts
01092;2.0;Massachusetts
01093;3.0;Massachusetts
01094;2.1;Massachusetts
01095;1.0;Massachusetts
01096;2.0;Massachusetts
01097;1.0;Massachusetts
01098;2.0;Massachusetts
01101;1.0;Massachusetts
01102;1.0;Massachusetts
01103;1.0;Massachusetts
01104;1.0;Massachusetts
01105;1.0;Massachusetts
01106;1.0;Massachusetts
01107;1.0;Massachusetts
01108;1.0;Massachusetts
01109;1.0;Massachusetts
01111;1.0;Massachusetts
01114;1.0;Massachusetts
01115;1.0;Massachusetts
01116;1.0;Massachusetts
01118;1.0;Massachusetts
01119;1.0;Massachusetts
01128;1.0;Massachusetts
01129;1.0;Massachusetts
01133;1.0;Massachusetts
01138;1.0;Massachusetts
01139;1.0;Massachusetts
01144;1.0;Massachusetts
01151;1.0;Massachusetts
01152;1.0;Massachusetts
01199;1.0;Massachusetts
01201;1.0;Massachusetts
01202;1.0;Massachusetts
01203;1.0;Massachusetts
01220;4.2;Massachusetts
01222;10.6;Massachusetts
01223;2.0;Massachusetts
01224;1.0;Massachusetts
01225;2.0;Massachusetts
01226;1.0;Massachusetts
01227;1.0;Massachusetts
01229;3.0;Massachusetts
01230;7.3;Massachusetts
01235;2.0;Massachusetts
01236;7.3;Massachusetts
01237;1.0;Massachusetts
01238;7.3;Massachusetts
01240;7.3;Massachusetts
01242;7.3;Massachusetts
01243;2.0;Massachusetts
01244;7.3;Massachusetts
01245;10.6;Massachusetts
01247;4.2;Massachusetts
01252;7.3;Massachusetts
01253;10.4;Massachusetts
01254;2.0;Massachusetts
01255;10.4;Massachusetts
01256;5.2;Massachusetts
01257;10.6;Massachusetts
01258;9.0;Massachusetts
01259;9.0;Massachusetts
01260;7.3;Massachusetts
01262;9.0;Massachusetts
01263;9.0;Massachusetts
01264;7.3;Massachusetts
01266;3.0;Massachusetts
01267;4.2;Massachusetts
01270;2.0;Massachusetts
01301;4.2;Massachusetts
01302;4.2;Massachusetts
01330;10.5;Massachusetts
01331;4.2;Massachusetts
01337;5.0;Massachusetts
01338;10.5;Massachusetts
01339;6.0;Massachusetts
01340;6.0;Massachusetts
01341;10.5;Massachusetts
01342;3.0;Massachusetts
01343;5.2;Massachusetts
01344;6.0;Massachusetts
01346;6.0;Massachusetts
01347;4.2;Massachusetts
01349;4.2;Massachusetts
01350;6.0;Massachusetts
01351;4.2;Massachusetts
01354;5.0;Massachusetts
01355;6.1;Massachusetts
01360;5.0;Massachusetts
01364;4.2;Massachusetts
01366;3.0;Massachusetts
01367;6.0;Massachusetts
01368;2.1;Massachusetts
01370;10.5;Massachusetts
01373;3.0;Massachusetts
01375;4.1;Massachusetts
01376;4.2;Massachusetts
01378;6.0;Massachusetts
01379;6.0;Massachusetts
01380;6.0;Massachusetts
01420;1.0;Massachusetts
01430;2.1;Massachusetts
01431;2.1;Massachusetts
01432;1.0;Massachusetts
01434;1.0;Massachusetts
01436;1.0;Massachusetts
01438;1.0;Massachusetts
01440;1.0;Massachusetts
01441;1.0;Massachusetts
01450;1.0;Massachusetts
01451;2.0;Massachusetts
01452;2.1;Massachusetts
01453;1.0;Massachusetts
01460;1.0;Massachusetts
01462;1.0;Massachusetts
01463;2.0;Massachusetts
01464;1.0;Massachusetts
01467;2.0;Massachusetts
